policy,prompts,mean_utility,ci95_low,ci95_high,diff_vs_baseline,diff_ci95_low,diff_ci95_high
better-rules-proxy,20263,0.49608198681750104,0.4926519279541613,0.4992942569042988,0.0,0.0,0.0
evocascade-ideal-verifier,20263,0.5281903590199,0.5250614826683758,0.5311483901187736,0.03210837220239893,0.030229624889398784,0.03409027168962852
fixed:gpt-4-1106-preview,20263,0.49608198681750104,0.4926519279541613,0.4992942569042988,0.0,0.0,0.0
fixed:mistralai/mistral-7b-chat,20263,0.1978792303211655,0.19421613587181377,0.20170895911396658,-0.29820275649633554,-0.30314297904485904,-0.29320530141642637
fixed:mistralai/mixtral-8x7b-chat,20263,0.3559358716021046,0.3518226173606895,0.35998325972928585,-0.14014611521539644,-0.14450041178518716,-0.13576278811287973
fixed:zero-one-ai/Yi-34B-Chat,20263,0.4216819404083321,0.4177634912060458,0.4254876990328569,-0.07440004640916892,-0.07831804334421366,-0.07039779724313323
linucb,20263,0.4959397017267993,0.4925900745537351,0.49922148019161106,-0.00014228509070174367,-0.00047503002689314454,0.00018894610153818707
oracle,20263,0.5640858565340848,0.5616538062677081,0.566461153515048,0.06800386971658379,0.06564292770738644,0.07048976683374218
xgboost,20263,0.4960821072152846,0.4927136927996133,0.4993946335164942,1.2039778357619824e-07,-0.0005483247117143347,0.0005755618681846179
